course_title,course_organization,course_Certificate_type,course_rating,course_difficulty,course_students_enrolled
Becoming a changemaker: Introduction to Social Innovation,University of Cape Town,COURSE,4.8,Beginner,61000.0
Innovation: From Creativity to Entrepreneurship,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.8,Beginner,25000.0
Design Thinking for the Greater Good: Innovation in the Social Sector,University of Virginia,COURSE,4.6,Beginner,17000.0
Diseño Instruccional: Aprendizaje activo y Pedagogía digital,Tecnológico de Monterrey,SPECIALIZATION,4.6,Beginner,4000.0
Understanding Cancer Metastasis,Johns Hopkins University,COURSE,4.8,Beginner,29000.0
The Social Context of Mental Health and Illness,University of Toronto,COURSE,4.6,Mixed,19000.0
Cuidado de heridas en el ámbito hospitalario,Universidad Nacional Autónoma de México,COURSE,4.8,Intermediate,26000.0
Data Engineering on Google Cloud Platform 日本語版,Google Cloud,SPECIALIZATION,4.4,Intermediate,3000.0
Stanford's Short Course on Breastfeeding,Stanford University,COURSE,4.7,Beginner,17000.0
Getting Started With Music Theory,Michigan State University,COURSE,4.5,Beginner,59000.0
Financial Reporting,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.8,Intermediate,12000.0
Probabilistic Graphical Models 1: Representation,Stanford University,COURSE,4.7,Advanced,68000.0
Write Your First Novel,Michigan State University,COURSE,4.4,Beginner,18000.0
Nanotechnology: A Maker’s Course,Duke University,COURSE,4.8,Mixed,21000.0
Data Visualization and Communication with Tableau,Duke University,COURSE,4.7,Mixed,130000.0
Biohacking Your Brain's Health,Emory University,COURSE,4.6,Beginner,35000.0
Bugs 101: Insect-Human Interactions,University of Alberta,COURSE,4.9,Beginner,15000.0
Introduction to Intellectual Property,University of Pennsylvania,COURSE,4.8,Beginner,6000.0
The Science of Stem Cells,American Museum of Natural History,COURSE,4.7,Intermediate,12000.0
"Corrección, estilo y  variaciones de la lengua española",Universitat Autònoma de Barcelona,COURSE,4.6,Beginner,75000.0
Practical Time Series Analysis,The State University of New York,COURSE,4.6,Intermediate,39000.0
Esports,"University of California, Irvine",SPECIALIZATION,4.5,Beginner,1800.0
Geopolitics of Europe,Sciences Po,COURSE,4.3,Mixed,19000.0
Sharpened Visions: A Poetry Workshop,California Institute of the Arts,COURSE,4.7,Beginner,61000.0
The Science of Success: What Researchers Know that You Should Know,University of Michigan,COURSE,4.8,Beginner,59000.0
Discrete Optimization,The University of Melbourne,COURSE,4.9,Intermediate,40000.0
From the Big Bang to Dark Energy,The University of Tokyo,COURSE,4.8,Beginner,52000.0
Liderazgo efectivo para el siglo XXI,Universidad de los Andes,SPECIALIZATION,4.8,Intermediate,23000.0
Homeland Security and Cybersecurity,University of Colorado System,SPECIALIZATION,4.7,Beginner,5500.0
International Cyber Conflicts,The State University of New York,COURSE,4.4,Mixed,25000.0
Autodesk Certified Professional: AutoCAD for Design and Drafting Exam Prep,Autodesk,COURSE,4.7,Advanced,22000.0
Основы программирования на Python,National Research University Higher School of Economics,COURSE,4.6,Beginner,83000.0
Entrepreneurship 3: Growth Strategies,University of Pennsylvania,COURSE,4.7,Beginner,31000.0
Fundamentos de la escritura,Tecnológico de Monterrey,COURSE,4.6,Beginner,47000.0
Modeling Risk and Realities,University of Pennsylvania,COURSE,4.6,Mixed,36000.0
Ecosystem Services: a Method for Sustainable Development,University of Geneva,COURSE,4.7,Intermediate,16000.0
Epigenetic Control of Gene Expression,The University of Melbourne,COURSE,4.8,Mixed,35000.0
Communication Skills for Engineers,Rice University,SPECIALIZATION,4.7,Beginner,15000.0
Gut Check: Exploring Your Microbiome,University of California San Diego,COURSE,4.7,Mixed,62000.0
Diseño y Creación de un Emprendimiento Social,Pontificia Universidad Católica de Chile,COURSE,4.9,Beginner,21000.0
Security & Safety Challenges in a Globalized World,Universiteit Leiden,COURSE,4.7,Beginner,14000.0
Introduction to Business Analytics: Communicating with Data,University of Illinois at Urbana-Champaign,COURSE,4.7,Intermediate,14000.0
Corporate Strategy,UCL School of Management,COURSE,4.8,Beginner,7800.0
Probability and Statistics: To p or not to p?,University of London,COURSE,4.6,Beginner,36000.0
The hidden value – Lean in manufacturing and services,École des Ponts ParisTech,COURSE,4.7,Beginner,14000.0
"Globalization, Economic Growth and Stability",IE Business School,SPECIALIZATION,4.8,Intermediate,44000.0
Chemicals and Health,Johns Hopkins University,COURSE,4.7,Beginner,23000.0
Blockchain: Foundations and Use Cases,ConsenSys Academy,COURSE,4.7,Beginner,31000.0
Developing Industrial Internet of Things,University of Colorado Boulder,SPECIALIZATION,4.6,Intermediate,8000.0
Foundations of Business Strategy,University of Virginia,COURSE,4.8,Beginner,63000.0
Корпоративные финансы и стоимость компании,National Research University Higher School of Economics,SPECIALIZATION,4.5,Beginner,16000.0
Introduction to Cyber Attacks,New York University,COURSE,4.7,Beginner,27000.0
Fundamentos de Excel para Negocios,Universidad Austral,COURSE,4.7,Beginner,150000.0
Corporate & Commercial Law I: Contracts & Employment Law,University of Illinois at Urbana-Champaign,COURSE,4.8,Intermediate,10000.0
Chicken Behaviour and Welfare,The University of Edinburgh,COURSE,4.7,Mixed,19000.0
Accounting for Decision Making,University of Michigan,COURSE,4.8,Intermediate,9900.0
Construction Cost Estimating and Cost Control,Columbia University,COURSE,4.7,Beginner,19000.0
Introduction to Self-Driving Cars,University of Toronto,COURSE,4.8,Advanced,39000.0
Cuidados y procedimientos generales en la atención del recién nacido,Universidad de Chile,COURSE,4.8,Intermediate,22000.0
Project Execution,"University of California, Irvine",COURSE,4.2,Beginner,70000.0
Programming Fundamentals,Duke University,COURSE,4.7,Beginner,19000.0
Emerging Technologies: From Smartphones to IoT to Big Data,Yonsei University,SPECIALIZATION,4.6,Beginner,17000.0
Getting Started with Go,"University of California, Irvine",COURSE,4.6,Intermediate,59000.0
Introduction to Thermodynamics: Transferring Energy from Here to There,University of Michigan,COURSE,4.8,Beginner,4100.0
Challenging Forensic Science: How Science Should Speak to Court,University of Lausanne,COURSE,4.8,Beginner,31000.0
Chinese for HSK 1,Peking University,COURSE,4.8,Beginner,22000.0
Business English: Networking,University of Washington,COURSE,4.7,Intermediate,77000.0
Health Information Literacy for Data Analytics,"University of California, Davis",SPECIALIZATION,4.5,Intermediate,5400.0
Global Trends for Business and Society,University of Pennsylvania,COURSE,4.8,Mixed,7600.0
Introdução aos Princípios e Práticas da Gestão De Projetos,Universidade de São Paulo,SPECIALIZATION,4.9,Beginner,4500.0
Fundamentos Empresariales,University of Pennsylvania,SPECIALIZATION,4.6,Beginner,25000.0
A Crash Course in Causality:  Inferring Causal Effects from Observational Data,University of Pennsylvania,COURSE,4.7,Intermediate,17000.0
Introduction to User Experience Principles and Processes,University of Michigan,COURSE,4.8,Beginner,16000.0
Introduction to Electronics,Georgia Institute of Technology,COURSE,4.7,Mixed,110000.0
Understanding Plants - Part I: What a Plant Knows,Tel Aviv University,COURSE,4.8,Beginner,49000.0
"Innovation Through Design: Think, Make, Break, Repeat",The University of Sydney,COURSE,4.8,Beginner,10000.0
Improving Leadership & Governance in Nonprofit Organizations,Luther College at the University of Regina,SPECIALIZATION,4.4,Beginner,18000.0
Strategy and Sustainability,IESE Business School,COURSE,4.6,Beginner,11000.0
"L'impact investing, la finance qui change le monde",ESSEC Business School,SPECIALIZATION,4.6,Beginner,6300.0
Blended Language Learning: Design and Practice for Teachers,University of Colorado Boulder,COURSE,4.8,Intermediate,1900.0
Analysing: Numeric and digital literacies,Macquarie University,SPECIALIZATION,4.6,Beginner,7900.0
Astrobiology and the Search for Extraterrestrial Life,The University of Edinburgh,COURSE,4.7,Mixed,66000.0
Spacecraft Dynamics and Control,University of Colorado Boulder,SPECIALIZATION,4.8,Advanced,12000.0
"Leading for Equity, Diversity and Inclusion in Higher Education",University of Michigan,COURSE,4.7,Intermediate,5900.0
Developing Your Musicianship,Berklee College of Music,COURSE,4.8,Mixed,41000.0
Guitar for Beginners,Berklee College of Music,COURSE,4.8,Mixed,210000.0
Introduction to Systems Engineering,UNSW Sydney (The University of New South Wales),COURSE,4.7,Mixed,33000.0
The Cycle: Management of Successful Arts and Cultural Organizations,"University of Maryland, College Park",COURSE,4.8,Beginner,11000.0
Supply Chain Operations,Rutgers the State University of New Jersey,COURSE,4.8,Beginner,24000.0
Global Financing Solutions  (by EDHEC and Société Générale),EDHEC Business School,COURSE,4.6,Intermediate,3600.0
Intercultural Management,ESCP Business School,COURSE,4.6,Beginner,6500.0
Sample-based Learning Methods,University of Alberta,COURSE,4.8,Intermediate,6800.0
Dairy Production and Management,The Pennsylvania State University,COURSE,4.8,Mixed,23000.0
Palliative Care: It's Not Just Hospice Anymore,University of Colorado System,SPECIALIZATION,4.8,Beginner,3200.0
Introduction to Statistics & Data Analysis in Public Health,Imperial College London,COURSE,4.7,Beginner,12000.0
How To Create a Website in a Weekend! (Project-Centered Course),The State University of New York,COURSE,3.3,Mixed,140000.0
The Changing Global Order,Universiteit Leiden,COURSE,4.7,Intermediate,23000.0
Love as a Force for Social Justice,Stanford University,COURSE,4.7,Beginner,14000.0
Enterprise Architecture,Peter the Great St. Petersburg Polytechnic University,COURSE,4.4,Beginner,2400.0
"Ready, Set, Future! Introduction to Futures Thinking",Institute for the Future,COURSE,4.8,Beginner,7700.0
Sexualidad...mucho más que sexo,Universidad de los Andes,COURSE,4.8,Beginner,110000.0
Effective Compliance Programs,University of Pennsylvania,COURSE,4.9,Mixed,3400.0
Introduction to Imagemaking,California Institute of the Arts,COURSE,4.5,Beginner,54000.0
Foundations of Everyday Leadership,University of Illinois at Urbana-Champaign,COURSE,4.8,Mixed,62000.0
Becoming a Sports Agent,Case Western Reserve University,COURSE,4.7,Beginner,6500.0
Cloud Computing Basics (Cloud 101),LearnQuest,COURSE,4.5,Beginner,37000.0
Finance for Non-Financial Managers,Emory University,COURSE,4.4,Intermediate,12000.0
iOS App Development with Swift,University of Toronto,SPECIALIZATION,3.9,Intermediate,76000.0
Introduction to Computer Programming,"Goldsmiths, University of London",COURSE,4.3,Beginner,20000.0
Sales Training for High Performing Teams,HubSpot Academy,SPECIALIZATION,4.7,Beginner,16000.0
Atención Primaria en Salud: El desafío de las Enfermedades no Transmisibles,Pontificia Universidad Católica de Chile,COURSE,4.8,Intermediate,33000.0
Data Collection and Processing with Python,University of Michigan,COURSE,4.7,Intermediate,19000.0
Music Business Foundations,Berklee College of Music,COURSE,4.9,Mixed,34000.0
Hacia una práctica constructivista en el aula,Pontificia Universidad Católica de Chile,COURSE,4.8,Mixed,62000.0
Learn English,Tsinghua University,SPECIALIZATION,4.3,Beginner,22000.0
Wonders of Ancient Egypt,University of Pennsylvania,COURSE,4.8,Intermediate,17000.0
Teaching Character and Creating Positive Classrooms,Relay Graduate School of Education,COURSE,4.8,Mixed,53000.0
El Abogado del Futuro: Legaltech y la Transformación Digital del Derecho,Universidad Austral,COURSE,5.0,Beginner,1500.0
Functional Programming Principles in Scala,École Polytechnique Fédérale de Lausanne,COURSE,4.8,Intermediate,170000.0
Magic in the Middle Ages,Universitat de Barcelona,COURSE,4.6,Beginner,78000.0
Six Sigma and the Organization (Advanced),University System of Georgia,COURSE,4.7,Intermediate,15000.0
"Creatividad, diseño e innovación: Técnicas y herramientas",Arizona State University,SPECIALIZATION,4.7,Beginner,150000.0
Construction Scheduling,Columbia University,COURSE,4.8,Beginner,15000.0
New Approaches to Countering Terror: Countering Violent Extremism,"University of Maryland, College Park",COURSE,4.7,Beginner,12000.0
Managing Your Health: The Role of Physical Therapy and Exercise,University of Toronto,COURSE,4.6,Beginner,47000.0
Ancient Philosophy: Aristotle and His Successors,University of Pennsylvania,COURSE,4.8,Mixed,8100.0
Strategising: Management for Global Competitive Advantage,Macquarie University,SPECIALIZATION,4.8,Intermediate,30000.0
Antimicrobial resistance - theory and methods,Technical University of Denmark (DTU),COURSE,4.6,Intermediate,63000.0
Cómo hablar bien en público,Universitat Autònoma de Barcelona,COURSE,4.8,Beginner,55000.0
Strategic Management,Copenhagen Business School,COURSE,4.7,Mixed,58000.0
Gender and Sexuality: Diversity and Inclusion in the Workplace,University of Pittsburgh,COURSE,4.7,Beginner,14000.0
Hardware Description Languages for FPGA Design,University of Colorado Boulder,COURSE,4.2,Intermediate,7400.0
Data Visualization with Advanced Excel,PwC,COURSE,4.8,Beginner,60000.0
Influencer Marketing Strategy,Rutgers the State University of New Jersey,COURSE,4.4,Intermediate,12000.0
Dentistry 101,University of Michigan,COURSE,4.7,Beginner,4500.0
Teach English Now! Teaching Language Online,Arizona State University,COURSE,4.4,Intermediate,8500.0
Preparing for the Google Cloud Associate Cloud Engineer Exam,Google Cloud,COURSE,4.7,Beginner,22000.0
Become a Sustainable Business Change Agent,University of Colorado System,SPECIALIZATION,4.7,Intermediate,4200.0
Patrocinio Deportivo,Universitat Autònoma de Barcelona,COURSE,4.6,Beginner,12000.0
Математика и Python для анализа данных,E-Learning Development Fund,COURSE,4.8,Beginner,67000.0
Data Analysis and Interpretation,Wesleyan University,SPECIALIZATION,4.4,Beginner,100000.0
Decision-Making and Scenarios,University of Pennsylvania,COURSE,4.6,Mixed,31000.0
"Sleep: Neurobiology, Medicine, and Society",University of Michigan,COURSE,4.8,Beginner,20000.0
Control of Mobile Robots,Georgia Institute of Technology,COURSE,4.8,Mixed,49000.0
BIM Fundamentals for Engineers,National Taiwan University,COURSE,4.6,Beginner,13000.0
Social Entrepreneurship,Copenhagen Business School,SPECIALIZATION,4.6,Beginner,13000.0
The Science of Gastronomy,The Hong Kong University of Science and Technology,COURSE,4.6,Mixed,50000.0
Aboriginal Worldviews and Education,University of Toronto,COURSE,4.7,Mixed,6600.0
Curanderismo: Traditional Healing Using Plants,University of New Mexico,COURSE,4.6,Beginner,5500.0
Cybersecurity and Its Ten Domains,University System of Georgia,COURSE,4.2,Beginner,140000.0
Strategic Business Management - Microeconomics,"University of California, Irvine",COURSE,4.7,Beginner,9500.0
Quantitative Methods,University of Amsterdam,COURSE,4.7,Mixed,69000.0
Building Your Leadership Skills,HEC Paris,COURSE,4.5,Mixed,67000.0
Advertising and Society,Duke University,COURSE,4.8,Mixed,14000.0
The Pronunciation of American English,"University of California, Irvine",SPECIALIZATION,4.6,Beginner,1700.0
Queering Identities: LGBTQ+ Sexuality and Gender Identity,University of Colorado System,COURSE,4.9,Beginner,3000.0
AWS Fundamentals: Migrating to the Cloud,Amazon Web Services,COURSE,4.5,Intermediate,13000.0
What future for education?,UCL Institute of Education,COURSE,4.7,Mixed,35000.0
Introduction to Ableton Live,Berklee College of Music,COURSE,4.8,Mixed,60000.0
Machine Learning Foundations: A Case Study Approach,University of Washington,COURSE,4.6,Mixed,240000.0
EMT Foundations,University of Colorado System,COURSE,4.8,Beginner,7100.0
Russian Alphabet,Saint Petersburg State University,COURSE,4.7,Beginner,3200.0
Internet Giants: The Law and Economics of Media Platforms,The University of Chicago,COURSE,4.8,Mixed,38000.0
Global Financial Markets and Instruments,Rice University,COURSE,4.6,Mixed,37000.0
Secure Coding Practices,"University of California, Davis",SPECIALIZATION,4.4,Intermediate,6400.0
Instructional Methods in Health Professions Education,University of Michigan,COURSE,4.6,Intermediate,9700.0
Actualización en el manejo del paciente con diabetes mellitus tipo 2,Universidad Nacional Autónoma de México,COURSE,4.8,Mixed,23000.0
Legal Tech & Startups,IE Business School,COURSE,4.5,Intermediate,7200.0
Materials Science: 10 Things Every Engineer Should Know,"University of California, Davis",COURSE,4.7,Mixed,48000.0
Основы разработки на C++: белый пояс,E-Learning Development Fund,COURSE,4.9,Intermediate,41000.0
Networking and Security Architecture with VMware NSX,VMware,COURSE,4.8,Intermediate,17000.0
Linear Circuits 1: DC Analysis,Georgia Institute of Technology,COURSE,4.6,Mixed,29000.0
Introduction aux Droits de l’Homme,University of Geneva,COURSE,4.8,Mixed,46000.0
"High Performance Collaboration: Leadership, Teamwork, and Negotiation",Northwestern University,COURSE,4.8,Mixed,46000.0
Agile и Scrum в работе над проектами и продуктами,ScrumTrek,COURSE,4.9,Beginner,12000.0
Estadística y probabilidad,Universidad Nacional Autónoma de México,COURSE,4.7,Beginner,27000.0
Classical Sociological Theory,University of Amsterdam,COURSE,4.8,Mixed,51000.0
Google Cloud Platform Fundamentals for AWS Professionals,Google Cloud,COURSE,4.7,Intermediate,36000.0
Introduction to Game Development,Michigan State University,COURSE,4.8,Mixed,79000.0
Formulación y evaluación de proyectos complejos,Universidad de los Andes,COURSE,4.9,Intermediate,4400.0
Digital Media and Marketing Strategies,University of Illinois at Urbana-Champaign,COURSE,4.4,Mixed,57000.0
Age of Cathedrals,Yale University,COURSE,4.7,Beginner,21000.0
Cost and Economics in Pricing Strategy,University of Virginia,COURSE,4.8,Beginner,15000.0
Digital Business Models,Lund University,COURSE,4.5,Beginner,21000.0
"Identifying, Monitoring, and Analyzing Risk and Incident Response and Recovery",(ISC)²,COURSE,4.9,Beginner,1700.0
Fundamentos Estratégicos Empresariales,Universidad Nacional Autónoma de México,SPECIALIZATION,4.6,Beginner,56000.0
¿Qué hacen los buenos directivos? Prioridades de la Alta Dirección,IESE Business School,COURSE,4.7,Beginner,25000.0
Software Processes and Agile Practices,University of Alberta,COURSE,4.7,Mixed,60000.0
Scaling Operations: Linking Strategy and Execution,Northwestern University,COURSE,4.5,Mixed,12000.0
AWS Fundamentals: Building Serverless Applications,Amazon Web Services,COURSE,4.7,Beginner,27000.0
Introduction to Big Data,University of California San Diego,COURSE,4.6,Mixed,160000.0
Front-End Web Development with React,The Hong Kong University of Science and Technology,COURSE,4.7,Intermediate,45000.0
The Economics of Health Care Delivery,University of Pennsylvania,COURSE,4.8,Mixed,7200.0
Unity Certified Programmer Exam Preparation,Unity,SPECIALIZATION,4.5,Intermediate,6100.0
Introdução à Ciência da Computação com Python Parte 1,Universidade de São Paulo,COURSE,4.9,Beginner,120000.0
Osteoarchaeology: The Truth in Our Bones,Universiteit Leiden,COURSE,4.7,Beginner,22000.0
Requirements Engineering: Secure Software  Specifications,University of Colorado System,SPECIALIZATION,4.6,Beginner,7200.0
Python Classes and Inheritance,University of Michigan,COURSE,4.7,Intermediate,21000.0
Electric Industry Operations and Markets,Duke University,COURSE,4.8,Beginner,12000.0
Data and Health Indicators in Public Health Practice,Johns Hopkins University,COURSE,4.7,Beginner,18000.0
Particle Physics: an Introduction,University of Geneva,COURSE,4.5,Mixed,42000.0
Mathematics for Machine Learning: PCA,Imperial College London,COURSE,4.0,Intermediate,33000.0
A Crash Course in Data Science,Johns Hopkins University,COURSE,4.5,Mixed,130000.0
Русский как иностранный,Saint Petersburg State University,SPECIALIZATION,4.6,Intermediate,9800.0
Research Data Management and Sharing,The University of Edinburgh,COURSE,4.6,Mixed,16000.0
Aspectos básicos de la planificación y la gestión de proyectos,University of Virginia,COURSE,4.9,Beginner,10000.0
Introduction to Genomic Technologies,Johns Hopkins University,COURSE,4.6,Mixed,42000.0
Introduction to Chemistry:  Reactions and Ratios,Duke University,COURSE,4.8,Beginner,46000.0
Explorando la Energía Sustentable,Pontificia Universidad Católica de Chile,COURSE,4.8,Beginner,28000.0
Evaluación educativa,Universidad Nacional Autónoma de México,SPECIALIZATION,4.8,Beginner,13000.0
University Teaching,The University of Hong Kong,COURSE,4.8,Beginner,9500.0
Психолингвистика (Psycholinguistics),Saint Petersburg State University,COURSE,4.8,Mixed,21000.0
Building Resilient Streaming Analytics Systems on GCP,Google Cloud,COURSE,4.6,Intermediate,5800.0
Autodesk CAD/CAM for Manufacturing,Autodesk,SPECIALIZATION,4.8,Intermediate,7300.0
Understanding Modern Finance,American Institute of Business and Economics,SPECIALIZATION,4.4,Intermediate,11000.0
Object-Oriented Design,University of Alberta,COURSE,4.7,Intermediate,33000.0
Aprende a programar con Python,Universidad Austral,SPECIALIZATION,4.2,Beginner,6600.0
Погружение в Python,Moscow Institute of Physics and Technology,COURSE,4.7,Intermediate,45000.0
Compassionate Leadership Through Service Learning with Jane Goodall and Roots & Shoots,University of Colorado Boulder,COURSE,4.9,Beginner,6400.0
